,CX,CY,IMS_SWISSCOORDINATE_X,IMS_SWISSCOORDINATE_Y,GUILD,CNHA,BIOIDX,BIOIDX_TX,BIOIDX_TXG,iflor
5401,633350,127850,633348,127898,22,63331278,6.0,6.710418465886787,6.710418465886787,0.6000000000000001
5405,633350,128050,633333,128024,22,63331280,4.0,4.473612310591191,4.473612310591191,0.4
5407,633350,128150,633354,128177,22,63331281,4.0,4.473612310591191,4.473612310591191,0.4
5409,633450,120350,633417,120300,22,63341203,6.0,6.679106624721822,6.679106624721822,0.6000000000000001
5412,633450,120650,633464,120603,22,63341206,5.0,5.452737749814548,5.452737749814548,0.4
5419,633550,120350,633533,120301,22,63351203,6.0,6.679106624721822,6.679106624721822,0.6000000000000001
5423,633550,120550,633523,120521,22,63351205,4.0,4.2263688749072745,4.2263688749072745,0.2
5424,633550,127750,633568,127791,22,63351277,7.0,7.710418465886787,7.710418465886787,0.6000000000000001
5429,633650,121350,633680,121378,22,63361213,4.0,4.2263688749072745,4.2263688749072745,0.2
5430,633650,127250,633694,127273,22,63361272,4.0,4.509148500342887,4.509148500342887,0.4
5436,633650,225450,633610,225480,22,63362254,5.0,5.309957672675591,5.309957672675591,0.2
5439,633750,127250,633715,127224,22,63371272,4.0,4.473612310591191,4.473612310591191,0.4
5442,633850,122350,633801,122331,22,63381223,4.0,4.2263688749072745,4.2263688749072745,0.2
5452,633850,255150,633840,255140,22,63382551,4.0,4.446192830489013,4.446192830489013,0.4
5454,633950,123850,633989,123893,22,63391238,6.0,6.452737749814549,6.452737749814549,0.4
5459,634050,124050,634000,124000,22,63401240,6.0,6.452737749814548,6.452737749814548,0.4
5461,634050,125850,634005,125872,22,63401258,4.0,4.452737749814548,4.452737749814548,0.4
5464,634050,128250,634071,128290,22,63401282,6.0,6.710418465886787,6.710418465886787,0.6000000000000001
5468,634150,123950,634193,123916,22,63411239,4.0,4.452737749814548,4.452737749814548,0.4
5471,634150,127350,634109,127398,22,63411273,4.0,4.473612310591191,4.473612310591191,0.4
5473,634150,127450,634105,127402,22,63411274,8.0,8.710418465886786,8.710418465886786,0.6000000000000001
5489,634450,125550,634460,125523,22,63441255,5.0,5.452737749814548,5.452737749814548,0.4
5491,634450,128150,634461,128195,22,63441281,4.0,4.473612310591191,4.473612310591191,0.4
5493,634550,126250,634531,126211,22,63451262,4.0,4.473612310591191,4.473612310591191,0.4
5495,634550,127050,634500,127000,22,63451270,4.0,4.236806155295596,4.236806155295596,0.2
5503,634750,244450,634770,244450,22,63472444,4.0,4.290455453700417,4.290455453700417,0.2
5508,634950,128050,634991,128003,22,63491280,4.0,4.473612310591191,4.473612310591191,0.4
5512,635050,128050,635032,128000,22,63501280,4.0,4.473612310591191,4.473612310591191,0.4
5543,635850,121950,635860,121900,22,63581219,4.0,4.452737749814548,4.452737749814548,0.4
5548,635950,127250,635904,127260,22,63591272,4.0,4.473612310591191,4.473612310591191,0.4
5557,636150,127850,636191,127865,22,63611278,6.0,6.710418465886787,6.710418465886787,0.6000000000000001
5566,636650,126950,636664,126926,22,63661269,4.0,4.236806155295596,4.236806155295596,0.2
5572,637050,127850,637091,127885,22,63701278,6.0,6.710418465886787,6.710418465886787,0.6000000000000001
5575,637150,127950,637162,127987,22,63711279,4.0,4.473612310591191,4.473612310591191,0.4
5578,637350,127850,637325,127839,22,63731278,4.0,4.473612310591191,4.473612310591191,0.4
5588,637750,128050,637721,128078,22,63771280,6.0,6.710418465886787,6.710418465886787,0.6000000000000001
